passim 0.1.10-1
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.46-1
pcsclite 2.3.3-1
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.00-2
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-libwww 6.79-2
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.23-5
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.32-2
perl-www-robotrules 6.02-15
perl-xml-parser 2.47-3
perl-xml-writer 0.900-5
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
pinentry 1.3.2-1
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-audio 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pixman 0.46.4-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.1-1
pkgfile 24-1
plasma-activities 6.4.4-1
plasma-activities-stats 6.4.4-1
plasma-browser-integration 6.4.4-1
plasma-desktop 6.4.4-1
plasma-disks 6.4.4-1
plasma-firewall 6.4.4-1
plasma-integration 6.4.4-3
plasma-nm 6.4.4-1
plasma-pa 6.4.4-1
plasma-systemmonitor 6.4.4-1
plasma-workspace 6.4.4-1
plasma5support 6.4.4-1
plocate 1.1.23-1
polkit 126-2
polkit-kde-agent 6.4.4-1
polkit-qt6 0.200.0-1
poppler 25.08.0-1
poppler-data 0.4.12-2
poppler-glib 25.08.0-1
poppler-qt6 25.08.0-1
popt 1.19-2
portaudio 1:19.7.0-3
power-profiles-daemon 0.30-1
powerdevil 6.4.4-1
ppp 2.5.2-1
presage 0.9.1-3
print-manager 1:6.4.4-1
prison 6.17.0-1
procps-ng 4.0.5-3
protobuf 32.0-1
protobuf-c 1.5.2-5
psmisc 23.7-1
pulseaudio-qt 1.7.0-1
purpose 6.17.0-1
pv 1.9.34-1
python 3.13.7-1
python-annotated-types 0.7.0-2
python-attrs 25.3.0-1
python-cairo 1.28.0-1
python-capng 0.8.5-3
python-cffi 1.17.1-2
python-charset-normalizer 3.4.3-1
python-colorama 0.4.6-5
python-cryptography 45.0.6-1
python-dbus 1.4.0-1
python-defusedxml 0.7.1-7
python-filelock 3.19.1-1
python-gobject 3.52.3-3
python-gpgme 2.0.0-1
python-idna 3.10-2
python-markdown-it-py 4.0.0-1
python-mdurl 0.1.2-8
python-multidict 6.6.4-1
python-orjson 3.11.3-1
python-packaging 25.0-1
python-pip 25.2-1
python-psutil 7.0.0-1
python-pyaml 24.12.0-1
python-pycparser 2.22-3
python-pydantic 2.11.7-1
python-pydantic-core 2:2.33.2-2
python-pygments 2.19.2-1
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pyqt6 6.9.1-2
python-pyqt6-sip 13.10.2-1
python-pysocks 1.7.1-10
python-requests 2.32.5-1
python-requests-toolbelt 1.0.0-3
python-rich 14.1.0-1
python-setproctitle 1.3.6-1
python-shtab 1.7.2-1
python-termcolor 3.1.0-1
python-typing-inspection 0.4.1-1
python-typing_extensions 4.15.0-1
python-urllib3 2.5.0-1
python-wheel 0.45.1-1
python-xapp 2.4.2-2
python-yaml 6.0.2-2
qca-qt6 2.3.10-3
qcoro 0.12.0-1
qqc2-breeze-style 6.4.4-1
qqc2-desktop-style 6.17.0-1
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-feedback 0.0.0.20150918-5
qt5-graphicaleffects 5.15.17-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.9.2-1
qt6-base 6.9.2-1
qt6-connectivity 6.9.2-1
qt6-declarative 6.9.2-1
qt6-imageformats 6.9.2-1
qt6-location 6.9.2-1
qt6-multimedia 6.9.2-3
qt6-multimedia-ffmpeg 6.9.2-3
qt6-positioning 6.9.2-1
qt6-quick3d 6.9.2-1
qt6-quicktimeline 6.9.2-1
qt6-sensors 6.9.2-1
qt6-shadertools 6.9.2-1
qt6-speech 6.9.2-1
qt6-svg 6.9.2-1
qt6-tools 6.9.2-1
qt6-translations 6.9.2-1
qt6-virtualkeyboard 6.9.2-1
qt6-wayland 6.9.2-1
qt6-webchannel 6.9.2-1
